"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"5372.296",,"ARENA_DISTANCES","DARK",89,0,0,791,0,6,0,0,0,0,0,673,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010925,0.000000
"5432.314",,"ARENA_DISTANCES","DARK",90,0,0,869,7,0,0,0,0,0,0,472,0,"ARENA_ACTIVITY",0.000000,0.000000,0.028030,0.000916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009735,0.000000
"5492.332",,"ARENA_DISTANCES","DARK",91,0,0,26,0,0,0,0,0,0,0,654,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013519,0.000000
"5552.358",,"ARENA_DISTANCES","DARK",92,0,0,284,0,0,0,0,0,0,0,425,0,"ARENA_ACTIVITY",0.000000,0.000000,0.035751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001938,0.000000
"5612.375",,"ARENA_DISTANCES","DARK",93,0,0,667,0,0,0,0,0,0,0,532,0,"ARENA_ACTIVITY",0.000000,0.000000,0.160858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.383469,0.000000
"5672.398",,"ARENA_DISTANCES","DARK",94,0,0,138,0,0,0,0,0,0,0,641,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056122,0.000000
"5732.424",,"ARENA_DISTANCES","DARK",95,0,0,0,0,7,0,136,0,0,0,472,0,"ARENA_ACTIVITY",0.000778,0.001923,0.000031,0.000015,0.024231,0.055832,0.002975,0.002304,0.108398,0.000717,0.033676,0.000000
"5792.444",,"ARENA_DISTANCES","DARK",96,0,0,6,0,0,0,204,0,0,0,557,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000641,0.000000,0.000000,0.000000,0.006912,0.000000
"5852.461",,"ARENA_DISTANCES","DARK",97,0,0,0,0,0,0,7,0,0,0,556,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003479,0.000000
"5912.482",,"ARENA_DISTANCES","DARK",98,0,0,0,0,0,0,58,0,0,0,548,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052307,0.000000,0.000000,0.000000,12.553543,0.000000
